Ticker,Company,Theme(s),Thesis Snapshot,Key 2026 Catalysts,What Moves It (Triggers),Notes,Catalyst Path
CSGP,CoStar Group,3D Capture Exposure,Acquiring Matterport; digital twins for real estate workflows.,Deal close/integration; product bundling; upsell.,Regulatory approval; CRE cycle.,Optionality in built-world twins.,Deal close → Integrate capture → Bundle/upsell across CRE suite
ADSK,Autodesk,AEC / Digital Twin Ops,Tandem twins; OpenUSD participation; strong AEC base.,Construction cloud growth; twin adoption; pricing changes.,Macro in AEC; license/pricing transitions.,Quality AEC software.,Construction Cloud adoption → Twin ops → Price/mix optimization
TMV.DE,TeamViewer SE,AR Workflows / Remote Assist,Frontline platform with marquee references.,Fleet rollouts; hardware partnerships; module attach.,EUR FX; competitive AR software.,Smaller cap; Europe listing.,Device partnership → Frontline modules → Enterprise rollout
NICE,NICE Ltd.,Attended Automation / CCaaS,NEVA & contact-center automation; strong analytics.,Seat expansion; AI features; large logos.,Contact center spend; competition.,Mid-beta enterprise software.,Analytics → Attended automation → AI features → Seat expansion
MSFT,Microsoft,Azure Digital Twins / XR,Azure DT + HoloLens enterprise workflows; Power Platform links.,Partner solutions; field service integrations; XR momentum.,Cloud growth; device roadmap; competition.,Wide distribution advantages.,Azure DT pilot → Power Platform automation → Field service at scale
AQMS,Aqua Metals,Battery Recycling / Tech,AquaRefining process; commercial ramp watch.,Plant milestones; offtakes; policy incentives.,Scale-up risk; funding.,High beta/early stage.,Pilot → Offtake → Commercial ramp → Unit economics
PALI,Palisade Bio,Biotech (spec),GI-focused micro-cap; binary catalysts typical.,Clinical readouts; FDA interactions; financing.,Trial outcomes; cash runway; partnerships.,Treat as option-like.,Pre‑clinical → Clinical readout → Regulatory feedback → Financing/partner
PGEN,Precigen,Biotech (spec),Cell/gene therapy programs; catalyst-driven.,Clinical data; regulatory milestones; partnerships.,Data quality; funding; sector risk.,High volatility.,Phase data → Regulatory mtg → Path to pivotal → Partnering
AMZN,Amazon,Cloud Twins (AWS),IoT TwinMaker + analytics; reference wins.,Vertical twin solutions; partner momentum.,Cloud spend optimization; competition.,Platform enabler.,Reference arch → SI partner wins → Vertical blueprints → Land-and-expand
PHG,Philips,Connected Care / Monitoring,Patient monitoring & connected care; working through legacy issues.,Resolution of legacy matters; new monitoring wins; AI features.,Litigation/recall updates; EU demand; FX.,ADR; diversification benefits.,Legacy resolution → Renewed tenders → Platform wins → AI feature attach
