Ticker,Company,Theme(s),Thesis Snapshot,Key 2026 Catalysts,What Moves It (Triggers),Notes,Catalyst Path,Date analyzed
IONQ,"IonQ, Inc.",Quantum computing ,Trapped‑ion quantum leader; highest algorithmic qubit fidelity with commercial cloud access and US gov traction.,"New system launches (AQ systems), capacity adds on AWS/Azure, multi‑year government contracts, revenue inflection toward profitability.","Backlog/bookings growth, algorithmic‑qubit and error‑rate milestones, major cloud integrations, US/EU grants.",,AFRL/QBI awards & perf milestones; trade earnings-adjacent catalysts with straddles/strangles where borrow tight.,4-Oct
RGTI,"Rigetti Computing, Inc.",Quantum computing ,Superconducting‑qubit QPU vendor focused on hybrid workflows; levered to government and enterprise pilots.,"128+ qubit generations with better coherence, govt/defense awards, cloud marketplace distribution, fab partnerships.","Benchmark wins vs peers, new QPU availability on AWS/Azure, contract announcements, cash runway updates.",,AFRL/QBI awards & perf milestones; trade earnings-adjacent catalysts with straddles/strangles where borrow tight.,4-Oct
CSGP,CoStar Group,3D Capture Exposure,Acquiring Matterport; digital twins for real estate workflows.,Deal close/integration; product bundling; upsell.,Regulatory approval; CRE cycle.,Optionality in built-world twins.,Deal close → Integrate capture → Bundle/upsell across CRE suite,29-Oct
ADSK,Autodesk,AEC / Digital Twin Ops,Tandem twins; OpenUSD participation; strong AEC base.,Construction cloud growth; twin adoption; pricing changes.,Macro in AEC; license/pricing transitions.,Quality AEC software.,Construction Cloud adoption → Twin ops → Price/mix optimization,29-Oct
TMV.DE,TeamViewer SE,AR Workflows / Remote Assist,Frontline platform with marquee references.,Fleet rollouts; hardware partnerships; module attach.,EUR FX; competitive AR software.,Smaller cap; Europe listing.,Device partnership → Frontline modules → Enterprise rollout,29-Oct
NICE,NICE Ltd.,Attended Automation / CCaaS,NEVA & contact-center automation; strong analytics.,Seat expansion; AI features; large logos.,Contact center spend; competition.,Mid-beta enterprise software.,Analytics → Attended automation → AI features → Seat expansion,29-Oct
MSFT,Microsoft,Azure Digital Twins / XR,Azure DT + HoloLens enterprise workflows; Power Platform links.,Partner solutions; field service integrations; XR momentum.,Cloud growth; device roadmap; competition.,Wide distribution advantages.,Azure DT pilot → Power Platform automation → Field service at scale,29-Oct
AQMS,Aqua Metals,Battery Recycling / Tech,AquaRefining process; commercial ramp watch.,Plant milestones; offtakes; policy incentives.,Scale-up risk; funding.,High beta/early stage.,Pilot → Offtake → Commercial ramp → Unit economics,29-Oct
PLUG,Plug Power Inc.,Biofuels / SAF under 45Z,Vertically integrated green‑hydrogen supplier/electrolyzer OEM with optionality as SAF feedstock enabler.,"DOE loan milestones, electrolyzer factory utilization, LH plants on‑line, multi‑year supply to SAF producers.","Liquidity/margin updates, large orders, policy (45V/45Z), commissioning dates.",,Multi-MW electrolyzer awards + DOE loan; favor diagonal call spreads into award windows.,4-Oct
GEVO,"Gevo, Inc.",Biofuels / SAF under 45Z,SAF developer; Net‑Zero projects lever 45Z/LCFS; offtakes with airlines provide demand visibility.,"Net Zero 1 FID/financing, EPC notice‑to‑proceed, additional offtakes and feedstock contracts.","45Z/LCFS rulemaking, project finance close, construction milestones, partner announcements.",,Treasury/IRS operationalized 45Z (45ZCF-GREET); push to finalize import RIN reductions; potential 45Z extension + NA feedstock ring-fencing ? producer registrations ? pathway certifications ? SAF ramps.,4-Oct
PALI,Palisade Bio,Biotech (spec),GI-focused micro-cap; binary catalysts typical.,Clinical readouts; FDA interactions; financing.,Trial outcomes; cash runway; partnerships.,Treat as option-like.,Pre-clinical → Clinical readout → Regulatory feedback → Financing/partner,29-Oct
PGEN,Precigen,Biotech (spec),Cell/gene therapy programs; catalyst-driven.,Clinical data; regulatory milestones; partnerships.,Data quality; funding; sector risk.,High volatility.,Phase data → Regulatory mtg → Path to pivotal → Partnering,29-Oct
AMZN,Amazon,Cloud Twins (AWS),IoT TwinMaker + analytics; reference wins.,Vertical twin solutions; partner momentum.,Cloud spend optimization; competition.,Platform enabler.,Reference arch → SI partner wins → Vertical blueprints → Land-and-expand,29-Oct
PHG,Philips,Connected Care / Monitoring,Patient monitoring & connected care; working through legacy issues.,Resolution of legacy matters; new monitoring wins; AI features.,Litigation/recall updates; EU demand; FX.,ADR; diversification benefits.,Legacy resolution → Renewed tenders → Platform wins → AI feature attach,29-Oct
RMD,ResMed,Connected Devices / Sleep,Cloud-connected CPAP ecosystem; large installed base data.,Device refreshes; reimbursement/coverage; adherence tools.,Recall/quality headlines (peers); payer changes; demand signals.,Sleep market exposure.,Device refresh → Coverage/adherence tools → Fleet replacements → Patient onboarding,29-Oct
IOT,Samsara,Connected Operations / Telemetry,Fleet & site IoT platform; productivity/safety outcomes.,Large enterprise wins; new SKUs; ARR growth.,SMB exposure; pricing; competition.,High-growth IoT SaaS.,Fleet POC → Site rollouts → Multi-product attach → Net retention ↑,29-Oct
HON,Honeywell,Connected Worker / Industrial Software,Forge + Worker Assist; strong field & plant presence.,Large rollouts; AI copilots; safety KPIs.,Macro capex; portfolio mix; supply chain.,Blue-chip operator exposure.,Pilot → Corporate standard → AI copilot attach → KPI lift,29-Oct
GM,General Motors Company,Critical minerals / domestic battery supply,Ultium platform scaling; investing in domestic cathode/anode and critical materials for IRA compliance.,"Ultium cell ramps, domestic supply agreements, EV lineup refresh, battery cost declines.","EV demand/price, labor/recall headlines, IRA content rules, supplier milestones.",,DOE’s $435M Thacker Pass loan draw with 5% equity signal—a policy shift to equity-backed strategic minerals.,4-Oct
LAC,Lithium Americas Corp.,Critical minerals / domestic battery supply,Thacker Pass clay lithium project with strategic US financing/loan support; multi‑decade resource.,"Loan draws, EPC progress, phase‑1 commissioning schedule, offtake expansions.","Lithium prices, permitting/legal updates, construction photos/milestones, gov funding.",,First loan-draw close targeted Dec 2025 ? build 2–3 weeks pre-12/31. Setups: long equity; or Dec/Jan call calendars to capture announcement vol.,4-Oct
